基金代码,基金名称
021909,鹏华上证科创板50成份增强策略ETF发起式联接C(021909
012120,工银核心优势混合C(012120
019319,汇添富国证2000指数增强C(019319
010372,大成成长进取混合C(010372
021934,富国中证通信设备主题ETF发起式联接C(021934
012125,博道盛彦混合C(012125
019331,华泰柏瑞中证沪港深云计算产业ETF发起式联接C(019331
021957,红土创新智能制造混合型发起式C(021957
012154,博时研究慧选混合C(012154
014939,同泰产业升级混合C(014939
019348,富国匠心成长混合C(019348
010378,广发价值核心混合C(010378
022084,华安中证有色金属矿业主题指数发起式C(022084
014948,融通新能源灵活配置混合C(014948
010384,宝盈基础产业混合C(010384
022150,诺安精选价值混合C(022150
012180,浦银安盛创业板ETF联接C(012180
019368,长城均衡成长混合C(019368
010392,易方达战略新兴产业股票C(010392
022252,中邮健康文娱灵活配置混合C(022252
010416,华泰柏瑞质量精选混合C(010416
019416,南方港股医药行业混合发起(QDII)C(019416
012228,景顺长城港股通全球竞争力C(012228
010422,海富通消费优选混合C(010422
019427,中银数字经济混合C(019427
012429,华夏核心制造混合C(012429
019432,永赢睿信混合C(019432
010491,鹏华高质量增长混合C(010491
015152,东吴嘉禾优势精选混合C(015152
012569,天弘高端制造混合C(012569
019499,兴证全球创新优势混合C(019499
010500,中银创新医疗混合C(010500
012621,诺安先锋混合C(012621
015170,摩根核心成长股票C(015170
012628,华夏大盘精选混合C(012628
015198,汇添富移动互联股票C(015198
010563,永赢成长领航混合C(010563
019599,平安中证港股医药ETF联接C(019599
012707,中银核心精选混合C(012707
019671,广发港股创新药ETF联接(QDII)C(019671
012718,易方达中证科技50ETF联接C(012718
010647,融通价值趋势混合C(010647
012729,国泰中证动漫游戏ETF联接C(012729
019703,易方达上证科创板成长ETF联接发起式C(019703
012793,长城科创两年定开混合C(012793
019786,广发上证科创板成长ETF发起式联接C(019786
012808,鹏华中证A股资源产业指数(LOF)C(012808
012809,鹏华中证沪港深科技龙头指数(LOF)C(012809
012836,招商景气精选股票C(012836
019821,鹏华远见精选混合发起式C(019821
010853,中欧内需成长混合C(010853
015389,宝盈转型动力混合C(015389
019825,国寿安保新材料股票发起式C(019825
012851,国联低碳经济3个月持有混合C(012851
001174,中欧瑾和灵活配置混合C(001174
019830,华夏数字产业混合C(019830
015456,信澳领先增长混合C(015456
019863,招商稳健优选股票C(019863
012887,华夏可转债增强债券C(012887
010988,国联鑫锐精选一年持有混合C(010988
012895,天弘中证科创创业50ETF联接C(012895
015486,平安策略优选1年持有混合C(015486
012899,兴银中证科创创业50指数C(012899
011022,汇添富互联网核心资产六个月持有混合C(011022
019865,浦银安盛高端装备混合C(019865
012901,招商创业板指数增强C(012901
015526,大成动态量化配置策略混合C(015526
011036,嘉实中证稀土产业ETF联接C(011036
012964,招商稳健平衡混合C(012964
015576,宏利绩优混合C(015576
019875,广发中证稀有金属ETF发起式联接C(019875
012970,鹏华国证半导体芯片ETF联接C(012970
015593,国泰金鑫股票C(015593
019889,中欧周期优选混合发起C(019889
012994,汇添富品牌力一年持有混合C(012994
005312,万家经济新动能混合C(005312
015596,国泰国证有色金属行业指数(LOF)C(015596
019917,富国医药创新股票C(019917
013050,兴业能源革新股票C(013050
011114,富国沪港深行业精选混合C(011114
015608,信澳转型创新股票C(015608
019919,招商中证2000指数增强C(019919
013084,中信保诚中证智能家居指数(LOF)C(013084
005438,易方达易百智能量化策略C(005438
011120,富国创新科技混合C(011120
015631,申万菱信乐融一年持有混合C(015631
013096,安信远见成长混合C(013096
013116,华安文体健康混合C(013116
013119,中信保诚中证500指数(LOF)C(013119
019924,华泰柏瑞中证2000指数增强C(019924
005483,博时创新驱动混合C(005483
015642,银华数字经济股票发起式C(015642
011123,汇添富ESG可持续成长股票C(011123
013122,中信保诚中证TMT(LOF)C(013122
019925,华宝竞争优势混合C(019925
011126,富国互联科技股票C(011126
013142,华商乐享互联灵活配置混合C(013142
015683,景顺长城科技创新混合C(015683
015686,富国新兴产业股票C(015686
013167,东兴宸祥量化混合C(013167
011145,华安汇宏精选混合C(011145
005538,中航新起航灵活配置混合C(005538
013221,中欧新兴价值一年持有混合C(013221
015690,富国中小盘精选混合C(015690
020111,富国恒生港股通创新药及医疗保健ETF发起式联接C(020111
020137,平安医疗健康混合C(020137
011171,宝盈智慧生活混合C(011171
005542,前海开源盛鑫混合C(005542
015692,富国通胀通缩主题轮动混合C(015692
013277,富国创业板ETF联接C(013277
013278,富国中证体育产业指数(LOF)C(013278
020180,金信深圳成长混合C(020180
018933,长盛城镇化主题混合C(018933
014461,平安品质优选混合C(014461
018957,中航机遇领航混合发起C(018957
011147,创金合信气候变化责任投资股票C(011147
009602,招商科技动力3个月滚动持有股票C(009602
011161,富国质量成长6个月持有混合C(011161
009645,东方阿尔法优势产业混合C(009645
018986,信澳双创智选混合C(018986
011230,创金合信数字经济主题股票C(011230
018994,中欧数字经济混合发起C(018994
009708,工银新兴制造混合C(009708
018998,景顺长城研究精选股票C(018998
011329,景顺长城新能源产业股票C(011329
011400,汇添富数字未来混合C(011400
014543,汇添富中证沪港深云计算产业ETF联接C(014543
019000,万家趋势领先混合C(019000
011470,东吴新产业精选股票C(011470
019004,易方达科技智选混合C(019004
009856,中加新兴成长混合C(009856
014559,华商品质慧选混合C(014559
011499,富国沪深300基本面精选股票C(011499
019018,易方达信息产业混合C(019018
014563,易方达品质动能三年持有混合C(014563
019034,易方达高端制造混合发起式C(019034
014581,东吴阿尔法灵活配置混合C(014581
011584,大成港股精选混合(QDII)C(011584
011575,鹏华领航一年持有混合C(011575
014592,广发瑞誉一年持有期混合C(014592
011607,民生加银周期优选混合C(011607
009939,淳厚欣享一年持有期混合C(009939
019072,嘉实国证通信ETF发起联接C(019072
011611,华泰柏瑞上证科创板50成份ETF联接C(011611
019053,华商元亨混合C(019053
014612,富国核心科技12个月持有混合C(014612
009995,嘉实创新先锋混合C(009995
011613,华夏科创50ETF联接C(011613
011615,工银科创ETF联接C(011615
019092,金鹰核心资源混合C(019092
014642,摩根新兴动力混合C(014642
011644,嘉实时代先锋三年持有混合C(011644
019088,工银中证稀有金属主题ETF发起式联接C(019088
019093,金鹰科技创新股票C(019093
014728,易方达成长动力混合C(014728
011668,东财高端制造增强C(011668
014737,创金合信专精特新股票发起C(014737
011709,中欧嘉益一年持有期混合C(011709
019165,汇添富中证细分有色金属产业主题ETF发起式联接C(019165
014755,华安景气优选混合C(014755
011821,兴业兴智一年持有期混合C(011821
011682,汇添富均衡精选六个月持有混合C(011682
019170,天弘中证沪港深云计算产业ETF发起联接C(019170
014777,富国中证芯片产业ETF发起式联接C(014777
010138,华泰柏瑞量化创享混合C(010138
019190,华商品质价值混合C(019190
011889,民生加银周期优选混合C(011889
014808,宏利景气智选18个月持有混合C(014808
011931,华夏时代前沿一年持有混合C(011931
019237,广发国证通信ETF发起式联接C(019237
014812,平安兴奕成长1年持有混合C(014812
019239,景顺长城创业板综指增强C(019239
011937,华夏阿尔法精选混合C(011937
010238,安信创新先锋混合发起C(010238
011965,泰康中证500ETF联接C(011965
019281,华西优选成长一年持有混合C(019281
010321,中银大健康股票C(010321
014855,嘉实中证半导体指数增强发起式C(014855
011978,格林研究优选混合C(011978
012081,易方达中证500指数量化增强C(012081
015159,申万菱信智能驱动股票C(015159
019571,诺安优化配置混合C(019571
012716,长盛创新先锋混合C(012716
015491,博时科创主题灵活配置混合(LOF)C(015491
012908,鹏扬中证科创创业50ETF联接C(012908
011043,国泰价值先锋股票C(011043
021511,宏利半导体产业混合发起C(021511
012536,万家全球成长一年持有期混合(QDII)C(012536
015390,万家瑞兴灵活配置混合C(015390
013642,博道成长智航股票C(013642
009982,万家创业板指数增强C(009982
018359,华富数字经济混合C(018359
014314,鹏华创新增长一年持有期混合C(014314
010812,中银战略新兴产业股票C(010812
011137,广发盛兴混合C(011137